Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
Средняя школа №2 им. М.Гелдиева г.Хазар;Хазар;2;83;41,9974;48,33325
"КГУ ""Опорная школа(РЦ)Б.Момышулы поселка Топар Абайского района Карагандинской области""";Топар;1;83;49,54764056;72,86679274
Павлодарский монтажный колледж;Павлодарская;1;83;54,03826409;71,07452173
Профессиональное училище № 105 г Норильска;Норильск;1;83;69,3490828;88,2009965
"ГАОУ ""Лицей Иннополис""";Казань;2;83;55,7943877;49,1115312
Жезказганский политехнический колледж г.Жезказган Р.Казахстан;Жезказган;1;83;47,78333;67,76667
Средняя школа Дунъюн района Наньша. г. Гуанчжоу;Гуанчжоу;1;83;23,11667;113,25
Средняя школа №1 уезда Вэнь провинции Хэнань Китай;Вэнь;1;83;41,803889;123,425833
СОУ 71 имени М Файзали;Вахдат;1;83;38,553056;69,019722
"МБОУ ""Гимназия №1 Брянского района""";Брянск;1;82;53,2420071;34,3652716
"МБОУ ""Белокурихинская средняя общеобразовательная школа №2"" Алтайского края";Белокуриха;2;82;51,9960534;84,9840343
Средняя общеобразовательная школа 40 имени Вячеслава Токарева города Бийска Алтайского края;Бийск;2;82;52,5393683;85,2138852
Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №1 МО г.-к. Анапа;Анапа;1;82;44,8950777;37,3163142
Средняя общеобразовательная школа 125 г.Барнаул;Барнаул;1;82;53,3481145;83,7798362
МБОУСОШ№18;Апшеронск;1;82;44,4585239;39,7300092
"МБОУ ""Ариничевская средняя общеобразовательная школа"" с. Ариничево";Ариничево;1;82;54,57528187;85,40835995
Жезказганский индустриально-гуманитарный колледж;Жезказган;1;82;47,78333;67,76667
Общеобразовательная средняя школа №22;Жезказган;1;82;47,78333;67,76667
Общеобразовательная средняя школа 3 г.Жезказган Р.Казахстан;Жезказган;3;82;47,78333;67,76667
Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №2 имени Асхата Масгутовича Мирзагитова с. Кандры муниципального района Туймазинский район  Республики Башкортостан;Кандры;1;82;54,56667;54,11667
СОУ № 54 им. И. Обидова;Канибадам;1;82;40,29414;70,43122
"МБОУ ""СОШ №89 с углубленным изучением отдельных предметов"" ";Ижевск;1;82;56,8527444;53,2113961
Средняя общеобразовательная школа 96 г.Кемерово;Кемерово;1;82;55,3909721;86,0467864
"МБОУ города Новосибирска ""Гимназия №1""";Новосибирск;1;82;55,0281016;82,9210575
"БОУ г.Омска ""Гимназия №84""";Омск;1;82;54,9848136;73,3674638
"КГУ ""Школа-лицей №66""";Нур-Султан;1;82;51,1801;71,44598
КГУ Школа-Лицей №1 г. Астана;Нур-Султан;1;82;51,1801;71,44598
"МБОУ ""Евгащинская средняя общеобразовательная школа имени генерал-майора авиации Дмитрия Михайловича Ефименко""";Омск;1;82;54,9848136;73,3674638
Средняя общеобразовательная школа 24 города Павлодара;Павлодар;1;82;52,28333;76,96667
МАОУ СОШ 44;Пермь;1;82;58,0103211;56,2341778
"МАОУ ""СОШ""Мастерград"" г. Перми";Пермь;1;82;58,0103211;56,2341778
Школа-лицей 1 г.Риддера Р.Казахстан;Риддер;2;82;51,07371953;83,94533081
"МОБУ ""Лицей №7""";Минусинск;1;82;53,7105509;91,6871866
Газпром школа;Москва;1;82;55,75222;37,61556
Средняя общеобразовательная школа 112 с углубленным изучением информатики г.Новокузнецка;Новокузнецк;1;82;53,7942757;87,2144046
Средняя общеобразовательная школа 162 г.Новосибирск;Новосибирск;1;82;55,0281016;82,9210575
"МБОУ ""СОШ №110"" г.Трехгорный";Трехгорный;1;82;54,8178174;58,4465039
