Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
МБОУ СОШ № 125;Снежинск;1;78;56.085232;60.7324989
"МБОУ ""Сетовская средняя общеобразовательная школа""";Сетовка;1;78;52.24007097;85.54086103
Средняя школа Хуанхэ г. Сиань;Сиань;1;78;34.25833;108.92861
МБОУ СОШ №10 с УИОП;Сургут;3;78;61.2539773;73.3961726
Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа №10» городского округа город Стерлитамак Республики Башкортостан;Стерлитамак;1;78;53.6302498;55.9315707
Гимназия 1;Стерлитамак;1;78;53.6302498;55.9315707
Средняя общеобразовательная школа 4 г.Светлограда Петровского района Ставропольского края;Светлоград;1;78;45.3284769;42.8566923
Муниципальная средняя (полная) общеобразовательная школа № 90 г.Северск;Северск;2;78;56.6031143;84.8809687
МБОУ СОШ №198 г.Северска ЗАТО Северск Томской области;Северск;3;78;56.6031143;84.8809687
"КГУ ""специализированная мужская школа-лицей-интернат Жас Улан имени Ш. Уалиханова для одаренных детей""";Семей;1;78;50.42675;80.26669
"МБОУ ""СОШ №93""";Новокузнецк;1;78;53.7942757;87.2144046
Муниципальное бюджетное общеобразовательное учереждение Новичихинская средняя общеобразовательная школа;Новичиха;1;78;52.204;81.3877
Лицей 2 г.Нижневартовска;Нижневартовск;1;78;60.9397379;76.5696206
Средняя школа №9;Находка;1;78;42.8240404;132.8927812
Средняя общеобразовательная школа №2 с углубленным изучением отдельных предметов;Лысьва;1;78;58.0995987;57.8085728
МОУ СОШ№48;Магнитогорск;1;78;53.4071891;58.9791432
"муниципальное бюджетное общеобразовательное учреждение города Кургана ""Гимназия №47"" Курганской области";Курган;1;78;55.4443448;65.3161339
Курумканская средняя школа 2 с.Курумкан;Курумкан;1;78;54.32093;110.30651
Минусинский кадетский корпус;Минусинск;1;78;53.7105509;91.6871866
Лицей 7 г.Минусинск;Минусинск;10;78;53.7105509;91.6871866
Муниципальное автономное общеобразовательное учреждение                 «Средняя школа «Комплекс Покровский» №153;Красноярск;2;78;56.009466;92.8524162
МБОУ Средняя школа №18 города Красноярска;Красноярск;1;78;56.009466;92.8524162
Гимназия №1 им. А.Л. Кузнецовой;Куйбышевский район. Куйбышев;1;78;55.44753;78.32181
"МАОУ ""Гимназия №13 ""Академ""";Красноярск;2;78;56.009466;92.8524162
Красноярский кадетский корпус имени А.И.Лебедя;Красноярск;1;78;56.009466;92.8524162
Средняя общеобразовательная школа 96 г.Кемерово;Кемерово;1;78;55.3909721;86.0467864
МБОУ СОШ №24;Кемерово;3;78;55.3909721;86.0467864
"МБОУ ""Гимназия № 71"" (""Радуга"") ";Кемерово;1;78;55.3909721;86.0467864
