Средний_балл;Учебное_заведение;Город;Число_поступающих
84;Средняя общеобразовательная школа № 22;Курган;1
84;"МАОУ ""Лицей №7 имени Героя Советского Союза Б.К. Чернышева""";Красноярск;1
84;Лицей;Лесной;1
84;МОУ СОШ№48;Магнитогорск;1
84;Муниципальное бюджетное общеобразовательное учреждение города Новосибирска Средняя общеобразовательная школа № 54 с углубленным изучением предметов социально-гуманитарного цикла;Новосибирск;2
84;Средняя школа Суанчыонг, г.Суанчыонг, провинция Намдинь;Нам Динь;1
84;КГУ Гимназия 6;Нур-Султан;1
84;Лицей информационных технологий г.Новосибирск;Новосибирск;1
84;"бюджетное общеобразоваетльное учреждение ""Средняя общеобразоваетльная школа № 4 имени И.И. Стрельникова""";Омск;1
84;Физико-математический лицей;Оренбург;1
84;МАОУ СОШ №4 г.Покачи;Покачи;1
84;Средняя общеобразовательная школа 9 г.Чита;Чита;1
84;"МБОУ ""Лицей #153""";Уфа;1
84;Средняя общеобразовательная школа-лицей 7 г.Семей Р.Казахстан;Семей;3
84;"КГУ ""Средняя школа-лицей №5 имени М.В. Ломоносова""";Талдыкорган;1
84;Средняя школа 22 г.Тараз Р.Казахстан;Тараз;1
84;МБОУ лицей при ТПУ г.Томска;Томск;28
83;"КГУ ""Опорная школа(РЦ)Б.Момышулы поселка Топар Абайского района Карагандинской области""";Топар;1
83;Таразский колледж Парасат;Тараз;1
83;Средняя общеобразовательная школа 15 г.Славгород;Славгород;2
83;Средняя школа №2 им. М.Гелдиева г.Хазар;Хазар;2
83;Павлодарский монтажный колледж;Павлодарская;1
83;Профессиональное училище № 105 г Норильска;Норильск;1
83;"ГАОУ ""Лицей Иннополис""";Казань;2
83;Жезказганский политехнический колледж г.Жезказган Р.Казахстан;Жезказган;1
83;Средняя школа Дунъюн района Наньша, г. Гуанчжоу;Гуанчжоу;1
83;Средняя школа №1 уезда Вэнь провинции Хэнань Китай;Вэнь;1
83;СОУ 71 имени М Файзали;Вахдат;1
82;"МБОУ ""Гимназия №1 Брянского района""";Брянск;1
82;"МБОУ ""Белокурихинская средняя общеобразовательная школа №2"" Алтайского края";Белокуриха;2
82;Средняя общеобразовательная школа 40 имени Вячеслава Токарева города Бийска Алтайского края;Бийск;2
82;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №1 МО г.-к. Анапа;Анапа;1
82;Средняя общеобразовательная школа 125 г.Барнаул;Барнаул;1
82;МБОУСОШ№18;Апшеронск;1
82;"МБОУ ""Ариничевская средняя общеобразовательная школа"" с. Ариничево";Ариничево;1
82;Жезказганский индустриально-гуманитарный колледж;Жезказган;1
82;Общеобразовательная средняя школа №22;Жезказган;1
82;Общеобразовательная средняя школа 3 г.Жезказган Р.Казахстан;Жезказган;3
82;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №2 имени Асхата Масгутовича Мирзагитова с. Кандры муниципального района Туймазинский район  Республики Башкортостан;Кандры;1
82;СОУ № 54 им. И. Обидова;Канибадам;1
82;"МБОУ ""СОШ №89 с углубленным изучением отдельных предметов"" ";Ижевск;1
82;Средняя общеобразовательная школа 96 г.Кемерово;Кемерово;1
82;"КГУ ""Школа-лицей №66""";Нур-Султан;1
82;КГУ Школа-Лицей №1 г. Астана;Нур-Султан;1
82;"МБОУ ""Евгащинская средняя общеобразовательная школа имени генерал-майора авиации Дмитрия Михайловича Ефименко""";Омск;1
82;"МБОУ города Новосибирска ""Гимназия №1""";Новосибирск;1
82;МАОУ СОШ 44;Пермь;1
82;"МАОУ ""СОШ""Мастерград"" г. Перми";Пермь;1
82;Средняя общеобразовательная школа 24 города Павлодара;Павлодар;1
82;"БОУ г.Омска ""Гимназия №84""";Омск;1
82;Школа-лицей 1 г.Риддера Р.Казахстан;Риддер;2
82;Северский лицей;Северск;1
82;Газпром школа;Москва;1
82;Средняя общеобразовательная школа 162 г.Новосибирск;Новосибирск;1
82;Средняя общеобразовательная школа 112 с углубленным изучением информатики г.Новокузнецка;Новокузнецк;1
82;"МОБУ ""Лицей №7""";Минусинск;1
82;Дальневосточный государственный университет путей сообщения г.Хабаровск;Хабаровск;1
82;МБОУ Гимназия №5 г. Усть-Лабинск;Усть-Лабинск;1
82;"Бюджетное общеобразовательное учреждение Ханты-Мансийского автономного округа - Югры ""Югорский физико-математический лицей-интернат"" города Ханты-Мансийска Тюменской области";Ханты-Мансийск;1
82;Школа-гимназия 10 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;2
82;Средняя общеобразовательная школа 6 г.Юрга МБОУ;Юрга;1
82;"Муниципальное бюджетное общеобразовательное учреждение""Средняя общеобразовательная  школа №121""";Снежинск;1
82;Средняя общеобразовательная школа 6 г.Сургут;Сургут;1
82;Гимназия 4 им.Л.Н.Толстого г.Степногорск р.Казахстан;Степногорск;1
82;"Лицей ""Билим Инновация""";Семей;2
82;"коммунальное государственное учреждение ""Средняя общеобразовательная школа №28"" ГУ ""Отдел образования г. Семей ВКО""";Семей;1
82;"МБОУ ""СОШ №110"" г.Трехгорный";Трехгорный;1
82;Средняя школа № 32 г.Томска;Томск;1
81;Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;51
81;ФГАОУ ВО Тюменский государственный университет;Тюмень;4
81;Средняя общеобразовательная школа 9 г.Семей Р.Казахстан;Семей;2
81;Профессиональное училище № 59 имени И.В. Асанова г Юрги;Юрга;1
81;Школа-лицей №46;Шымкент;2
81;Тяжинская средняя общеобразовательная школа 2 пгт.Тяжинский;Тяжинский;2
81;Средняя школа № 1 города Хазар;Хазар;4
81;"МБОУ ""Лицей № 35 имени А. И. Герлингер"" г. Новокузнецка";Новокузнецк;2
81;Профессиональный лицей №53 г. Новокуйбышевск Самарской обл.;Новокуйбышевск;1
81;Школа-лицей 4 им. Абая г.Сатпаев Р.Казахстан;Сатпаев;1
81;Средняя общеобразовательная школа 2 г.Риддер Р.Казахстан;Риддер;3
81;Камчатский политехнический техникум г.Петропавловск-Камчатский;Петропавловск-Камчатский;1
81;Средняя общеобразовательная школа 34 инновационного типа г.Павлодара Р.Казахстан;Павлодар;2
81;Инженерный лицей Новосибирского государственного технического университета;Новосибирск;5
81;"МБОУ ""Лицей №23""";Кемерово;5
81;Средняя общеобразовательная школа 74 г.Караганда Р.Казахстан;Караганда;4
81;"КГАОУ ""Школа космонавтики""";Железногорск;3
81;Анжеро-Судженский политехнический колледж;Анжеро-Судженск;22
81;Лицей 134 г.Алматы Р.Казахстан;Алматы;1
81;"МБОУ города Абакана ""Гимназия""";Абакан;3
81;Школа-гимназия им. академика А. Мамытова;Бостери;1
81;Среднее общеобразовательное учреждение №1 г. Вахдат Республики Таджикистан;Вахдат;4
80;Большемуртинская средняя общеобразовательная школа 1 пгт Б.Мурта Красноярского края;Большая Мурта;1
80;Средняя общеобразовательная школа 3 г.Бийск;Бийск;8
