Средний_балл;Учебное_заведение;Город;Число_поступающих
89;"Муниципальное бюджетное общеобразовательное учреждение ""Екатеринославская средняя общеобразовательная школа"" имени Лыхенко С.А. Шербакульского муниципального района Омской области";Екатеринославка;1
89;"МБОУ ""СОШ №2""";Дагестанские Огни;1
89;Вологодский строительный колледж;Вологда;1
89;"МБОУ ""Гимназия № 8""";Глазов;1
89;Лицей 2 г.Бугульма;Бугульма;1
89;МБОУ БСОШ №1 им. П,П, Коргина;Благовещенка;1
89;ФГБОУ ВО Лицей БГПУ;Благовещенск;1
89;Средняя общеобразовательная школа 2 г.Белокуриха;Белокуриха;1
89;Средняя образовательная школа 12 г.Бердск;Бердск;1
89;Гимназия 22, г. Барнаул;Барнаул;2
89;"Автономная некоммерческая профессиональная образовательная организация ""Уральский промышленно-экономический техникум""";Асбест;1
89;Алексеевская СОШ №9;Алексеевка;1
89;Средняя общеобразовательная школа 30 г.Абакан;Абакан;1
89;МАОУ Копыловская средняя общеобразовательная школа Томского района Томской области;Копылово;3
89;муниципальное общеобразовательное учреждение гимназия №9;Комсомольск-на-Амуре;1
89;Кош-Агачская средняя общеобразовательная школа им. В.И.Чаптынова;Кош-Агач;1
89;"МАОУ ""Кожевниковская средняя общеобразовательная школа №2""";Кожевниково;1
89;гимназия №7;Красноярск;1
89;Лучановская муниципальная средняя общеобразовательная школа имени В.В. Михетко;Лучаново;1
89;"МБОУ ""СОШ №3""";Курск;1
89;"КГУ ""Средняя общеобразовательная школа №2  города Курчатов""";Курчатов;2
89;Малосалаирская средняяобщеобразовательная школа с.Малая Салаирка;Малая Салаирка;1
89;"МКОУ ""Мамонтовская средняя общеобразовательная школа"" с. Мамонтово Алтайский край";Мамонтово;3
89;"МБОУ "" ГИМНАЗИЯ № 6 ИМЕНИ С. Ф. ВЕНЗЕЛЕВА"" ГОРОДА МЕЖДУРЕЧЕНСКА";Междуреченск;5
89;Шегарская муниципальная средняя (полная) общеобразовательная школа № 2;Мельниково;1
89;Многопрофильная гимназия 6 г.Междуреченск;Междуреченск;1
89;"МАОУ ""Гимназия №1"" города Минусинска Красноярского края";Минусинск;1
89;МБОУ СОШ №22;Новокузнецк;1
89;Средняя общеобразовательная школа №1 города Новоалтайска Алтайского края;Новоалтайск;1
89;Муниципальное бюджетное образовательное учреждение Средняя общеобразовательная школа №42;Нижневартовск;1
89;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя школа №42""";Нижневартовск;1
89;Средняя школа № 9 с углубленным изучением отдельных предметов;Нижневартовск;1
89;Средняя общеобразовательная школа 21 г.Нижневартовск;Нижневартовск;1
89;Газпром школа;Москва;1
89;МАОУ Лицей №8;Назарово;1
89;Северский лицей;Северск;1
89;Средняя общеобразовательная школа 4 г.Светлограда Петровского района Ставропольского края;Светлоград;1
89;Губернаторский Светленский лицей;Светлый;1
89;Восточно-Казахстанский областной специализированный лицей БIЛIМ-ИННОВАЦИЯ для одаренных детей города Семей;Семей;2
89;Старобрянская средняя общеобразовательная школа с.Старая Брянь Заиграевского района Р.Бурятия;Старая Брянь;1
89;Средняя общеобразовательная школа им.Н.И.Вавилова;Саратов;1
89;"МОУ ""Лицей 50""";Саратов;1
89;"МБОУ ""СОШ №13""";Сатка;1
89;Средняя общеобразовательная школа 7 г.Рубцовск;Рубцовск;1
89;"Гимназия ""Планета Детства"" г.Рубцовск";Рубцовск;1
89;МОУ Гимназия №1;Петровск-Забайкальский;1
89;Петропавловская районная гимназия;Петропавловка;1
89;"КГУ ""Средняя школа № 4"" КГУ ""Отдел образования акимата г. Петропавловска""";Петропавловск;1
89;Средняя школа 4 пгт Прогресс Амурской области;Прогресс;1
89;"МБОУ ""СОШ №156 с углубленным изучением предметов художественно-эстетического цикла""";Новосибирск;1
89;"МБОУ ""Лицей №200""";Новосибирск;1
89;"МБОУ города Новосибирска ""СОШ №155""";Новосибирск;1
89;МБОУ города Новосибирска Лицей №113;Новосибирск;1
89;МБОУ СОШ №49;Новосибирск;1
89;Средняя общеобразовательная школа 27 г.Норильск;Норильск;1
89;Лицей 36 г.Осинники;Осинники;1
89;гимназия №69 им. Чередова И.М.;Омск;2
89;"Автономная некоммерческая общеобразовательная организация ""Школа""Видергебурт""";Омская;1
89;"Муниципальное общеобразовательное автономное учреждение ""Средняя общеобразовательная школа № 52 г. Орска""";Орск;1
89;"МАОУ ""Гимназия №1 г.Орска""";Орск;1
89;МАОУ СОШ 44;Пермь;1
89;Школа-лицей №1;Нур-Султан;1
89;"МБОУ ""Марушинская средняя общеобразовательная школа"" Целинного района Алтайского края";Целинное;1
89;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №22"" г. Читы";Чита;1
89;Забайкальский краевой лицей-интернат;Чита;4
89;Тяжинская средняя общеобразовательная школа 1 пгт.Тяжинский;Тяжинский;3
